intent,button,entities
affirm,是的,
bye,再见！,
canthelp,你没有帮到我,
chitchat/ask_howdoing,最近怎样？,
chitchat/ask_howold,你几岁了？,
chitchat/ask_isbot,你是机器人吗？,
chitchat/ask_ishuman,你是真人吗？,
chitchat/ask_languagesbot,你懂什么语言？,
chitchat/ask_time,现在几点？,
chitchat/ask_whatismyname,我的名字？,
chitchat/ask_whatspossible,你能做什么？,
chitchat/ask_wherefrom,你来自哪里？,
chitchat/ask_whoami,你是谁？,
chitchat/ask_whoisit,你是谁？,
deny,不是,
教学教务/加位,课程怎么加位？,
教学教务/预选课,预选阶段选中的课能退吗？,
教学教务/切换选课校区,怎么切换校区选课？,
教学教务/登录选课系统,怎么登录选课系统？忘记密码怎么办？,
教学教务/网上补交学分费,怎么在网上补交学分费？,
教学教务/不能进入选课系统,选课系统进不去怎么办？,
教学教务/缴学杂费,怎么缴学杂费？,
教学教务/百度文库,百度文库（高校版）使用方法,
教学教务/其他,教学教务相关问题,
就业指导/修改资源信息,怎么修改毕业生资源信息？,
就业指导/补办或申领《就业报到证》,怎么补办或申领《就业报到证》？,
就业指导/申请改派,毕业生申请改派,
就业指导/补办或申领《就业推荐表》,怎么补办或申领《就业推荐表》？,
就业指导/怎么办理社会保险,怎么办理社会保险？,
就业指导/什么是社会保险,什么是社会保险？,
就业指导/怎么签三方协议,怎么签三方协议？,
就业指导/申请毕业生就业补贴,怎么申请毕业生就业补贴？,
就业指导/什么是生源地,生源地是什么？,
就业指导/什么是试用期、见习期和实习期,什么是试用期、见习期和实习期？,
就业指导/重新签约,怎么重新签约？,
就业指导/什么是无效协议,什么是无效协议？,
就业指导/协议书损坏或遗失,协议书损坏或遗失怎么办？,
就业指导/协议书中权利和义务,在协议书中毕业生与用人单位的权利和义务是什么？,
就业指导/其他,就业指导相关问题,
图书馆服务/推荐购买,如何向图书馆推荐购买我想看的书？,
图书馆服务/预约图书,如何预约图书？,
图书馆服务/图书续借,图书如何续借？能续借多久？,
图书馆服务/预借图书,怎样预借图书？,
图书馆服务/借书遗失或污损,在图书馆借的书遗失或者污损，该如何处理？,
图书馆服务/查询借阅记录,怎么查询借阅记录？,
图书馆服务/借不到书,我要借的书通过预借也借不到怎么办？,
图书馆服务/借书后出门报警,我在自助借书机刚借的图书出门时发生报警怎么办？,
图书馆服务/借书逾期,借的书已逾期怎么办？,
图书馆服务/毕业后能否使用图书馆,毕业后还能使用图书馆资源吗？,
图书馆服务/校外人员借书,校外人员可以进深大图书馆借书？,
图书馆服务/电子存包柜脱机,电子存包柜处于“脱机模式”怎么办？,
图书馆服务/如何使用自助借书机,自助借书机怎么使用？,
图书馆服务/自助借书机能否还书,自助借书机可以还书吗？,
图书馆服务/办展览手续,想在图书馆办展览，应该履行什么手续？,
图书馆服务/挂条幅或张贴广告手续,我想在图书馆外悬挂条幅或张贴广告，应该履行什么手续？,
图书馆服务/申请勤工助学,如何申请图书馆勤工助学岗位？,
图书馆服务/开放时间,图书馆开放时间,
图书馆服务/其他,图书馆服务相关问题,
后勤服务/谁可以使用心理咨询,谁可以使用心理咨询服务？,
后勤服务/心理咨询方式,心理咨询都有哪些方式？,
后勤服务/心理咨询隐私保护,我来求助，我的同学老师会知道吗？,
后勤服务/心理咨询作用,心理咨询有什么用？,
后勤服务/心理咨询地址,心理咨询中心在哪？,
后勤服务/心理咨询预约方式,心理咨询怎么预约？,
后勤服务/火车票优惠_资质绑定,什么是资质绑定？,
后勤服务/火车票优惠_补齐公章,乘车前一定要补齐“注册章”和“深圳大学公章”，请问需要怎么补办？,
后勤服务/火车票优惠_如何绑定学生资质,如何绑定学生资质？,
后勤服务/火车票优惠_学生证充磁,学生证优惠卡怎么充磁？,
后勤服务/火车票优惠_身份证未核验,身份证未核验怎么办？,
后勤服务/火车票优惠_取车票,自助售取票机上取不了学生票怎么办？,
后勤服务/火车票优惠_无法取票或绑定资质,去车站取票时提示“学生证没有绑定身份信息或没有身份证号码”怎么办？,
后勤服务/火车票优惠_查询学生资质绑定,在哪查询资质绑定信息？,
后勤服务/宿舍_查询、申请及退宿,宿舍查询、申请及退宿,
后勤服务/宿舍_电费查询与充值,宿舍电费查询与充值,
后勤服务/宿舍_多久恢复供电和网络,在线缴电费和网费后，多久能够恢复供电和网络？,
后勤服务/其他,后勤服务相关问题,
校园卡/修改校园卡信息,我可以修改校园卡的基本信息吗？,
校园卡/交易流水时限,我可以查询三个月或更早以前的校园卡交易流水吗？,
校园卡/校园卡丢失,我的校园卡丢失了怎么办？,
校园卡/校园卡充值指南,深圳大学校园卡充值指南,
校园卡/体育经费说明,校园卡内体育专项经费说明,
校园卡/自助挂失及解挂,校园卡自助挂失及解挂,
校园卡/领取微信校园卡,怎么领取微信校园卡？,
校园卡/其他,校园卡相关问题,
校医院/疫情防控平台,深圳大学疫情防控信息平台,
校医院/其他,校医院相关问题,
校园网服务/校外访问内部网,校外怎么访问内部网？,
校园网服务/校园宽带开通,如何开通校园宽带？,
校园网服务/校园WiFi连接,校园WiFi连接,
校园网服务/网络故障,网络出现故障，该找谁？,
校园网服务/其他,校园网服务相关问题,
研究生招生/招生章程,深圳大学研究生招生章程,
研究生招生/招生专业目录,深圳大学研究生招生专业目录,
研究生招生/奖助体系,研究生奖助体系,
研究生招生/非全日制硕士招生信息,深圳大学非全日制硕士招生信息,
研究生招生/历年录取情况,深圳大学研究生历年录取情况统计表,
研究生招生/其他,研究生招生相关问题,
本科生招生/录取分数线,深圳大学今年的录取分数线是多少？,
本科生招生/招生计划和范围,深圳大学的招生计划和范围？,
本科生招生/哪些专业比较好,深大的哪些专业比较好？,
本科生招生/报考要求,报考深圳大学有什么要求吗？,
本科生招生/其他录取方式,高考分数不够有其他方式被录取吗？,
本科生招生/是否双一流,深大是“双一流”吗？,
本科生招生/服从调剂还会被退档吗,服从调剂还会被退档吗？,
本科生招生/专业录取规则,专业录取规则是什么？,
本科生招生/志愿调剂提前通知,志愿调剂会不会提前通知考生？,
本科生招生/加分政策,学校认可哪些加分政策？,
本科生招生/保研情况,保研情况如何？,
本科生招生/转专业,深大可以转专业吗？,
本科生招生/宿舍环境、住宿条件和住宿费,深圳大学的宿舍环境、住宿条件和住宿费如何？,
本科生招生/合格考成绩要求,请问贵校对新高考考生的合格考成绩有什么要求吗？,
本科生招生/就业率,学校就业率怎么样？,
本科生招生/主要就业去向,毕业生主要就业去向？,
本科生招生/哪些专业招研究生,哪些专业招研究生？,
本科生招生/学费等收费标准,深圳大学的学费等收费标准如何？,
本科生招生/其他,本科生招生相关问题,
迎新服务/校历,深圳大学校历,
迎新服务/小巴定位,小巴到站查询,
迎新服务/校园地图,深圳大学地图,
迎新服务/迁户口,迁户口相关问题,
迎新服务/新生心理健康普查,新生心理健康普查操作指引,
迎新服务/内部网,深大内部网网址,
迎新服务/网上服务大厅,深大网上服务大厅网址,
迎新服务/上课时间表,深大上课时间表,
迎新服务/体测标准,体测评分标准,
迎新服务/其他,迎新服务相关问题,
常用联系方式/教学秘书联系方式,各学院（部）教学秘书联系方式,
常用联系方式/校内常用电话,校内常用电话,
常用联系方式/教师联系方式,教师联系方式查询,
常用联系方式/其他,校内常用联系方式,
greet,"你好？",
human_handoff,切换人工服务,
out_of_scope/其他,超出范围的问题,
out_of_scope/non_chinese,正在使用非中文的语言,
react_negative,我很失望,
react_positive,我很开心,
thank,谢谢！,
